Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
PE/25771;CORSO VENTIDUE MARZO N. 49 (z.d. 4);SOMMINISTRAZIONE - In piano;CORSO VENTIDUE MARZO;49;3074.0;e - Bar gastronomici e simili;;40.0;20129.0;26.0;XXII MARZO;4.0;9.21957399585;45.4623283482;45.4623283482, 9.21957399585
PE/25772;Via TOFFETTI VINCENZO N. 18 (z.d. 4);SOMMINISTRAZIONE - In piano;Via TOFFETTI VINCENZO;18;4188.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;55.0;20139.0;35.0;LODI - CORVETTO;4.0;9.23503395891;45.4369190042;45.4369190042, 9.23503395891
PE/25773;Via TRANSITI (DEI) N. 27 (z.d. 2);SOMMINISTRAZIONE - In piano;Via TRANSITI (DEI);27;2284.0;e - Bar gastronomici e simili;;32.0;20127.0;20.0;LORETO;2.0;9.21855485133;45.4909492435;45.4909492435, 9.21855485133
PE/25784;VIA LORENTEGGIO N. 246 (z.d. 6);SOMMINISTRAZIONE - In piano;VIA LORENTEGGIO;246;5132.0;c - Tavole calde,self service, fast food e simili;;268.0;20152.0;53.0;LORENTEGGIO;6.0;9.12298124516;45.4458221918;45.4458221918, 9.12298124516
PE/25398;Via FORZE ARMATE (DELLE) N. 99 (z.d. 7);SOMMINISTRAZIONE - In piano;Via FORZE ARMATE (DELLE);99;6643.0;|d - Pizzerie e simili|e - Bar gastronomici e simili;;59.0;20147.0;56.0;FORZE ARMATE;7.0;9.12655682963;45.4626994143;45.4626994143, 9.12655682963
PE/24549;Via FELTRE N. 19 trattasi di civico n. 19/b (z.d. 3);SOMMINISTRAZIONE - In piano;Via FELTRE;19;2652.0;e - Bar gastronomici e simili|f - Bar caffè e simili|a - Ristorante, trattoria, osteria con cucina e simili;;118.0;20132.0;18.0;Parco Lambro - CIMIANO;3.0;9.23957385956;45.4912874359;45.4912874359, 9.23957385956
PE/25412;Via FARA GUSTAVO N. 33 (z.d. 9);SOMMINISTRAZIONE - In piano;Via FARA GUSTAVO;33;1183.0;a - Ristorante, trattoria, osteria con cucina e simili;;36.0;20124.0;9.0;GARIBALDI REPUBBLICA;9.0;9.19875604934;45.4851397037;45.4851397037, 9.19875604934
PE/25600;Corso GOTTARDO (SAN) N. 14 (z.d. 5);SOMMINISTRAZIONE - In piano;Corso GOTTARDO (SAN);14;5203.0;d - Pizzerie e simili;;22.0;20136.0;6.0;TICINESE;5.0;9.17981693247;45.4504323686;45.4504323686, 9.17981693247
PE/25609;Piazza FIRENZE N. 19 (z.d. 8);SOMMINISTRAZIONE - In piano;Piazza FIRENZE;19;7173.0;f - Bar caffè e simili;;46.0;20149.0;67.0;PORTELLO;8.0;9.15493249769;45.4877666018;45.4877666018, 9.15493249769
PE/25612;Via CUORE IMMACOLATO DI MARIA N. 12A| isolato:101| accesso: accesso esterno| (z.d. 5);SOMMINISTRAZIONE - In piano;Via CUORE IMMACOLATO DI MARIA;12A;4248.0;f - Bar caffè e simili;;31.0;20141.0;38.0;RIPAMONTI;5.0;9.19553029554;45.4359091494;45.4359091494, 9.19553029554
